State_Code,State_Name,Area_SqKm,Total_Population,Rural_Population,Urban_Population,Growth_Rate,Sex_Ratio,Literacy_Rate,Male_Literacy,Female_Literacy,Number_of_Districts,Villages,Number_of_Schools,Enrollment_in_Schools,Enrollment_Rural_Schools,Enrollment_Urban_Schools,Number_of_Teachers,Teachers_Rural_Schools,Teachers_Urban_Schools,Schools_Single_Classroom,Single_Teacher_School,Girls_School,Boys_School,Co-Education_School,Schools_with_Ramps,Library,Librarian,CWSN_School,Lab_Assistant,Boys_Hostel,Girls_Hostel,Schools_Internet,Schools_ICT_Lab,Playground,Medical_Checkup,SMDC,PTA,Classrooms,Female_Teachers,Phyiscs_Lab,Chemistry_Lab,Biology_Lab,Computer_Lab,Maths_Lab,Language_Lab,Geography_Lab,Psychology_Lab,Social_Science_Lab,Female_Professional_Teacher,Male_Professional_Teacher,Male_Regular_Teacher,Female_Regular_Teacher,Male_Contract_Teacher,Feamle_Contract_Teacher,Girls_Enrollment,Boys_Enrollment,Boys_Repeaters,Girls_Repeaters,Boys_CWSN,Girls_CWSN,Arts_Students,Science_Students,Commerce_Students,Vocational_Students,Other_Students
26,Dadra & Nagar Haveli          ,491,342.85,328.13,14.72,55.5,775,77.65,86.46,65.93,1,70,41,19494,12207,7287,645,392,253,1,0,0,0,41,7,39,10,1,22,15,10,32,10,33,41,27,28,369,352,13,14,13,16,3,2,1,0,0,352,293,293,352,0,0,8950,14586,212,68,99,62,2338,1844,2382,0,0
27,Maharashtra,307713,112372.97,112336.39,36.58,15.99,925,82.91,89.82,75.48,36,43661,25025,6423525,3226017,3197508,220008,117461,102547,329,87,852,248,23925,14706,24382,4926,183,6651,2308,1959,15065,11019,24051,21639,17652,15509,118656,74427,3728,3721,3627,4564,1692,1118,1337,437,431,74427,145581,142795,71772,2786,2655,2923936,4552565,29660,16422,44785,35074,998816,911959,598909,87512,27205
28,Andhra Pradesh                ,275045,84665.53,84640.95,24.58,11.1,992,67.66,75.56,59.74,13,15075,13823,2209965,1287211,922754,75327,52408,22919,80,324,1117,396,12310,2828,13019,6517,206,1595,833,1054,5133,2969,11128,9080,6865,5447,61028,29822,1058,1043,910,616,232,216,82,90,80,29822,45505,44118,27248,1387,2574,1075233,1476108,239,218,10968,10419,49700,839296,43998,5264,0
29,Karnataka,191791,61130.7,61101.32,29.38,15.67,968,75.6,82.85,68.13,34,29449,18136,2588481,1275461,1312999,136213,75547,60660,162,125,891,205,17040,3411,17685,2688,250,1716,1038,806,5574,5409,15443,15578,9050,3279,71286,56775,720,709,714,771,257,216,91,60,49,56775,79032,78638,56514,394,261,1267935,1819540,23011,18346,14990,10892,356150,174931,181372,305,4838
30,Goa                           ,3702,1457.72,1411.72,46,8.17,968,87.4,92.81,81.84,2,530,495,86417,48045,38372,5750,3446,2304,3,1,10,10,475,54,494,106,6,383,16,12,461,331,339,441,414,463,2352,3948,65,57,56,81,9,6,11,5,3,3948,1802,1795,3936,7,12,42008,57037,3629,1911,694,449,8297,10847,10578,5911,120
31,Lakshadweep                   ,32,64.43,22.57,41.86,6.23,946,92.28,96.11,88.25,1,10,14,4916,3829,1087,468,365,103,0,0,0,0,14,6,14,9,0,12,0,0,13,12,10,12,11,12,153,208,12,12,12,10,2,2,2,0,0,208,260,259,208,1,0,2637,2800,149,81,39,35,1105,1058,235,0,0
32,Kerala,38863,33387.68,33362.92,24.76,4.86,1084,93.91,96.02,91.98,14,1907,4682,1903389,1378832,524557,104332,76477,27855,48,6,214,85,4382,1361,4638,1243,85,1363,212,208,4351,3147,4172,3850,2479,2563,49114,73805,1339,1334,1264,1491,509,271,117,68,55,73805,30525,30201,73263,324,542,952293,1220383,5505,2649,26171,18779,154229,334219,181978,40855,14849
33,Tamil Nadu,130058,72138.96,72100.86,38.1,15.6,995,80.33,86.81,73.86,30,19301,12471,4041789,2016928,2024861,177206,96110,81096,115,4,951,544,10976,4639,12394,1726,68,4201,889,875,9939,2676,10505,11541,6793,9103,110003,111628,4518,4501,4141,4402,730,784,166,172,135,111628,65578,64680,109902,898,1726,2048867,2594825,9523,8306,18756,14964,168074,1101152,349175,127484,17082
34,Puducherry,479,1244.46,1192.34,52.12,27.72,1038,86.55,92.12,81.22,4,145,366,79221,31372,47849,5581,2287,3294,10,0,23,22,321,137,366,131,4,80,13,13,314,86,315,340,148,129,2379,3373,120,121,117,121,23,17,5,2,5,3373,2208,2208,3373,0,0,39978,50743,1254,803,270,257,1232,22196,6785,1756,259
35,Andaman & Nicobar Islands     ,8249,379.94,349.36,30.58,6.68,878,86.27,90.11,81.84,3,198,112,23580,13524,10056,1621,1000,621,2,0,1,0,111,31,112,97,0,78,15,15,72,23,78,106,92,93,770,889,34,34,34,27,14,1,25,2,13,889,732,717,845,15,44,11575,15165,739,335,145,96,6518,2645,1527,71,0
36,Telangana,0,0,0,0,0,0,0,0,0,10,9934,13495,1752416,870526,881890,63451,37415,26036,178,353,1031,325,12139,2102,12278,1339,53,398,628,700,3894,2203,10411,8688,7115,3885,51764,25911,384,381,364,241,139,64,44,35,39,25911,37540,36206,23875,1334,2036,878232,1156975,6,2,5634,5819,257147,269361,92820,40143,21763
